Class	Stomach	Gills	Sed	WC
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.04375	0.0996	0.0549	0.199333333
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.0075	0.0126	0.005266667	0.159
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	0.039375	0.0456	0.196433333	0.0245
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	0.025125	0.0579	0.0426	0.008
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.08725	0.3166	0.232533333	0.199166667
k__Bacteria;p__Proteobacteria;c__TA18	0	0.0004	0.0006	0
k__Bacteria;p__Proteobacteria;c__Zetaproteobacteria	0	0.0001	0	0.000166667
k__Bacteria;p__SAR406;c__AB16	0	0.0005	0.001433333	0.000833333
k__Bacteria;p__SBR1093;c__VHS-B5-50	0	0	0	0
k__Bacteria;p__SR1;c__	0	0	0.000166667	0.000166667
k__Bacteria;p__Spirochaetes;c__GN05	0	0	0	0
k__Bacteria;p__Spirochaetes;c__MVP-15	0	0	0.000133333	0
k__Bacteria;p__Spirochaetes;c__Spirochaetes	0.000375	0.0017	0.0132	0.0005
k__Bacteria;p__Spirochaetes;c__[Brachyspirae]	0.037	0.1044	0.0004	0
k__Bacteria;p__Spirochaetes;c__[Leptospirae]	0	0.0002	6.67E-05	0
k__Bacteria;p__Synergistetes;c__Synergistia	0.000125	0.0003	0	0
k__Bacteria;p__TM6;c__	0	0	6.67E-05	0
k__Bacteria;p__TM6;c__SBRH58	0	0.0001	0.000266667	0
k__Bacteria;p__TM6;c__SJA-4	0.001	0.0001	0.0003	0
k__Bacteria;p__TM7;c__TM7-1	0	0	0	0
k__Bacteria;p__TM7;c__TM7-3	0	0	0	0
k__Bacteria;p__TPD-58;c__	0	0	0	0
k__Bacteria;p__Tenericutes;c__Mollicutes	0.5755	0.0098	0.003533333	0.000833333
k__Bacteria;p__Tenericutes;c__RF3	0	0	3.33E-05	0
k__Bacteria;p__Thermotogae;c__Thermotogae	0	0.0003	0	0
k__Bacteria;p__Verrucomicrobia;c__	0.000125	0	0	0
k__Bacteria;p__Verrucomicrobia;c__Opitutae	0.00025	0.0015	0.000866667	0.001333333
k__Bacteria;p__Verrucomicrobia;c__Verruco-5	0.000875	0.004	0.009333333	0.000166667
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.024125	0.0231	0.005333333	0.003166667
k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae]	0	0	0	0
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae]	0	0.0005	0.001366667	0.000166667
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria]	0	0	3.33E-05	0
k__Bacteria;p__WPS-2;c__	0.00025	0.0005	0	0
k__Bacteria;p__WS1;c__	0	0	3.33E-05	0
k__Bacteria;p__WS2;c__Kazan-3B-09	0	0	0	0
k__Bacteria;p__WS2;c__SHA-109	0	0	6.67E-05	0
k__Bacteria;p__WS3;c__PRR-12	0.000125	0.0018	0.006466667	0.000333333
k__Bacteria;p__WWE1;c__[Cloacamonae]	0	0.0008	0.003066667	0
k__Bacteria;p__ZB3;c__	0	0	6.67E-05	0
k__Bacteria;p__ZB3;c__BS119	0	0.0001	0	0
k__Bacteria;p__[Caldithrix];c__KSB1	0.000125	0.0002	0.0011	0
k__Bacteria;p__[Thermi];c__Deinococci	0	0.0002	0	0.000166667
