variable	Diss	SITE	Habitats	Sim	Site
DU_Gsed	0.646	DU	Gill-Sed	0.354	DU1
DU_Gsed	0.646	DU	Gill-Sed	0.354	DU1
DU_Gsed	0.649	DU	Gill-Sed	0.351	DU1
DU_Gsed	0.649	DU	Gill-Sed	0.351	DU1
DU_Gsed	0.652	DU	Gill-Sed	0.348	DU1
DU_Gsed	0.659	DU	Gill-Sed	0.341	DU1
DU_Gsed	0.662	DU	Gill-Sed	0.338	DU1
DU_Gsed	0.666	DU	Gill-Sed	0.334	DU1
DU_Gsed	0.673	DU	Gill-Sed	0.327	DU1
DU_Gsed	0.677	DU	Gill-Sed	0.323	DU1
DU_Gsed	0.677	DU	Gill-Sed	0.323	DU1
DU_Gsed	0.683	DU	Gill-Sed	0.317	DU1
DU_Gsed	0.683	DU	Gill-Sed	0.317	DU1
DU_Gsed	0.684	DU	Gill-Sed	0.316	DU1
DU_Gsed	0.689	DU	Gill-Sed	0.311	DU1
DU_Gsed	0.69	DU	Gill-Sed	0.31	DU1
DU_Gsed	0.691	DU	Gill-Sed	0.309	DU1
DU_Gsed	0.696	DU	Gill-Sed	0.304	DU1
DU_Gsed	0.696	DU	Gill-Sed	0.304	DU1
DU_Gsed	0.697	DU	Gill-Sed	0.303	DU1
DU_Gsed	0.702	DU	Gill-Sed	0.298	DU1
DU_Gsed	0.704	DU	Gill-Sed	0.296	DU1
DU_Gsed	0.705	DU	Gill-Sed	0.295	DU1
DU_Gsed	0.706	DU	Gill-Sed	0.294	DU1
DU_Gsed	0.707	DU	Gill-Sed	0.293	DU1
DU_Gsed	0.708	DU	Gill-Sed	0.292	DU1
DU_Gsed	0.711	DU	Gill-Sed	0.289	DU1
DU_Gsed	0.712	DU	Gill-Sed	0.288	DU1
DU_Gsed	0.713	DU	Gill-Sed	0.287	DU1
DU_Gsed	0.713	DU	Gill-Sed	0.287	DU1
DU_Gsed	0.714	DU	Gill-Sed	0.286	DU1
DU_Gsed	0.714	DU	Gill-Sed	0.286	DU1
DU_Gsed	0.715	DU	Gill-Sed	0.285	DU1
DU_Gsed	0.716	DU	Gill-Sed	0.284	DU1
DU_Gsed	0.717	DU	Gill-Sed	0.283	DU1
DU_Gsed	0.718	DU	Gill-Sed	0.282	DU1
DU_Gsed	0.718	DU	Gill-Sed	0.282	DU1
DU_Gsed	0.72	DU	Gill-Sed	0.28	DU1
DU_Gsed	0.72	DU	Gill-Sed	0.28	DU1
DU_Gsed	0.721	DU	Gill-Sed	0.279	DU1
DU_Gsed	0.721	DU	Gill-Sed	0.279	DU1
DU_Gsed	0.723	DU	Gill-Sed	0.277	DU1
DU_Gsed	0.723	DU	Gill-Sed	0.277	DU1
DU_Gsed	0.725	DU	Gill-Sed	0.275	DU1
DU_Gsed	0.727	DU	Gill-Sed	0.273	DU1
DU_Gsed	0.727	DU	Gill-Sed	0.273	DU1
DU_Gsed	0.729	DU	Gill-Sed	0.271	DU1
DU_Gsed	0.729	DU	Gill-Sed	0.271	DU1
DU_Gsed	0.731	DU	Gill-Sed	0.269	DU1
DU_Gsed	0.732	DU	Gill-Sed	0.268	DU1
DU_Gsed	0.732	DU	Gill-Sed	0.268	DU1
DU_Gsed	0.733	DU	Gill-Sed	0.267	DU1
DU_Gsed	0.733	DU	Gill-Sed	0.267	DU1
DU_Gsed	0.734	DU	Gill-Sed	0.266	DU2
DU_Gsed	0.734	DU	Gill-Sed	0.266	DU2
DU_Gsed	0.735	DU	Gill-Sed	0.265	DU2
DU_Gsed	0.735	DU	Gill-Sed	0.265	DU2
DU_Gsed	0.735	DU	Gill-Sed	0.265	DU2
DU_Gsed	0.735	DU	Gill-Sed	0.265	DU2
DU_Gsed	0.737	DU	Gill-Sed	0.263	DU2
DU_Gsed	0.738	DU	Gill-Sed	0.262	DU2
DU_Gsed	0.739	DU	Gill-Sed	0.261	DU2
DU_Gsed	0.739	DU	Gill-Sed	0.261	DU2
DU_Gsed	0.74	DU	Gill-Sed	0.26	DU2
DU_Gsed	0.74	DU	Gill-Sed	0.26	DU2
DU_Gsed	0.741	DU	Gill-Sed	0.259	DU2
DU_Gsed	0.742	DU	Gill-Sed	0.258	DU2
DU_Gsed	0.743	DU	Gill-Sed	0.257	DU2
DU_Gsed	0.744	DU	Gill-Sed	0.256	DU2
DU_Gsed	0.744	DU	Gill-Sed	0.256	DU2
DU_Gsed	0.745	DU	Gill-Sed	0.255	DU2
DU_Gsed	0.745	DU	Gill-Sed	0.255	DU2
DU_Gsed	0.746	DU	Gill-Sed	0.254	DU2
DU_Gsed	0.746	DU	Gill-Sed	0.254	DU2
DU_Gsed	0.746	DU	Gill-Sed	0.254	DU2
DU_Gsed	0.746	DU	Gill-Sed	0.254	DU2
DU_Gsed	0.748	DU	Gill-Sed	0.252	DU2
DU_Gsed	0.748	DU	Gill-Sed	0.252	DU2
DU_Gsed	0.748	DU	Gill-Sed	0.252	DU2
DU_Gsed	0.748	DU	Gill-Sed	0.252	DU2
DU_Gsed	0.748	DU	Gill-Sed	0.252	DU2
DU_Gsed	0.748	DU	Gill-Sed	0.252	DU2
DU_Gsed	0.749	DU	Gill-Sed	0.251	DU2
DU_Gsed	0.749	DU	Gill-Sed	0.251	DU2
DU_Gsed	0.75	DU	Gill-Sed	0.25	DU2
DU_Gsed	0.75	DU	Gill-Sed	0.25	DU2
DU_Gsed	0.751	DU	Gill-Sed	0.249	DU2
DU_Gsed	0.752	DU	Gill-Sed	0.248	DU2
DU_Gsed	0.752	DU	Gill-Sed	0.248	DU2
DU_Gsed	0.753	DU	Gill-Sed	0.247	DU2
DU_Gsed	0.753	DU	Gill-Sed	0.247	DU2
DU_Gsed	0.753	DU	Gill-Sed	0.247	DU2
DU_Gsed	0.753	DU	Gill-Sed	0.247	DU2
DU_Gsed	0.754	DU	Gill-Sed	0.246	DU2
DU_Gsed	0.754	DU	Gill-Sed	0.246	DU2
