"","variable","value"
"775","RI_SS",NA
"776","RI_SS",NA
"777","RI_SS",NA
"778","RI_SS",NA
"779","RI_SS",NA
"780","RI_SS",NA
"781","RI_SS",NA
"782","RI_SS",NA
"783","RI_SS",NA
"784","RI_SS",NA
"785","RI_SS",NA
"786","RI_SS",NA
"787","RI_SS",NA
"788","RI_SS",NA
"789","RI_SS",NA
"790","RI_SS",NA
"791","RI_SS",NA
"792","RI_SS",NA
"793","RI_SS",NA
"794","RI_SS",NA
"795","RI_SS",NA
"796","RI_SS",NA
"797","RI_SS",NA
"798","RI_SS",NA
"799","RI_SS",NA
"800","RI_SS",NA
"801","RI_SS",NA
"802","RI_SS",NA
"803","RI_SS",NA
"804","RI_SS",NA
"805","RI_SS",NA
"806","RI_SS",NA
"807","RI_SS",NA
"808","RI_SS",NA
"809","RI_SS",NA
"810","RI_SS",NA
"811","RI_SS",NA
"812","RI_SS",NA
"813","RI_SS",NA
"814","RI_SS",NA
"815","RI_SS",NA
"816","RI_SS",NA
"817","RI_SS",NA
"818","RI_SS",NA
"819","RI_SS",NA
"820","RI_SS",NA
"821","RI_SS",NA
"822","RI_SS",NA
"823","RI_SS",NA
"824","RI_SS",NA
"825","RI_SS",NA
"826","RI_SS",NA
"827","RI_SS",NA
"828","RI_SS",NA
"829","RI_SS",NA
"830","RI_SS",NA
"831","RI_SS",NA
"832","RI_SS",NA
"833","RI_SS",NA
"834","RI_SS",NA
"835","RI_SS",NA
"836","RI_SS",NA
"837","RI_SS",NA
"838","RI_SS",NA
"839","RI_SS",NA
"840","RI_SS",NA
"841","RI_SS",NA
"842","RI_SS",NA
"843","RI_SS",NA
"844","RI_SS",NA
"845","RI_SS",NA
"846","RI_SS",NA
"847","RI_SS",NA
"848","RI_SS",NA
"849","RI_SS",NA
"850","RI_SS",NA
"851","RI_SS",NA
"852","RI_SS",NA
"853","RI_SS",NA
"854","RI_SS",NA
"855","RI_SS",NA
"856","RI_SS",NA
"857","RI_SS",NA
"858","RI_SS",NA
"859","RI_SS",NA
"860","RI_SS",NA
"861","RI_SS",NA
"862","RI_SS",NA
"863","RI_SS",NA
"864","RI_SS",NA
"865","RI_SS",NA
"866","RI_SS",NA
"867","RI_SS",NA
"868","RI_SS",NA
"869","RI_SS",NA
"870","RI_SS",NA
"871","RI_SS",NA
"872","RI_SS",NA
"873","RI_SS",NA
"874","RI_SS",NA
"875","RI_SS",NA
"876","RI_SS",NA
"877","RI_SS",NA
"878","RI_SS",NA
"879","RI_SS",NA
"880","RI_SS",NA
"881","RI_SS",NA
"882","RI_SS",NA
"883","RI_SS",NA
"884","RI_SS",NA
"885","RI_SS",NA
"886","RI_SS",NA
"887","RI_SS",NA
"888","RI_SS",NA
"889","RI_SS",NA
"890","RI_SS",NA
"891","RI_SS",NA
"892","RI_SS",NA
"893","RI_SS",NA
"894","RI_SS",NA
