Class	Stomach	Gills	Sed	WC
k__Bacteria;p__Synergistetes;c__Synergistia	3.45E-05	8.57E-05	1.00E-05	0
k__Bacteria;p__TM6;c__	0.000103448	0	3.00E-05	4.35E-05
k__Bacteria;p__TM6;c__SBRH58	0.000172414	0.000114286	0.00028	8.70E-05
k__Bacteria;p__TM6;c__SJA-4	0.000793103	0.000371429	0.00027	8.70E-05
k__Bacteria;p__TM7;c__TM7-1	3.45E-05	2.86E-05	1.00E-05	0
k__Bacteria;p__TM7;c__TM7-3	0	2.86E-05	0	0
k__Bacteria;p__TPD-58;c__	0	0	9.00E-05	0
k__Bacteria;p__Tenericutes;c__Mollicutes	0.436137931	0.009514286	0.00415	0.001478261
k__Bacteria;p__Tenericutes;c__RF3	3.45E-05	2.86E-05	4.00E-05	0
k__Bacteria;p__Thermotogae;c__Thermotogae	3.45E-05	8.57E-05	4.00E-05	0
k__Bacteria;p__Verrucomicrobia;c__	3.45E-05	0	2.00E-05	0
k__Bacteria;p__Verrucomicrobia;c__Opitutae	0.000103448	0.000857143	0.0017	0.001217391
k__Bacteria;p__Verrucomicrobia;c__Verruco-5	0.000862069	0.002057143	0.00877	0.000565217
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.017931034	0.014342857	0.00593	0.005478261
k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae]	6.90E-05	2.86E-05	0	0
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae]	6.90E-05	0.000285714	0.00116	8.70E-05
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria]	3.45E-05	5.71E-05	2.00E-05	0
k__Bacteria;p__WPS-2;c__	0.000103448	0.000171429	1.00E-05	4.35E-05
k__Bacteria;p__WS1;c__	3.45E-05	0	6.00E-05	0
k__Bacteria;p__WS2;c__Kazan-3B-09	0	0	1.00E-05	0
k__Bacteria;p__WS2;c__SHA-109	0	0	2.00E-05	0
k__Bacteria;p__WS3;c__PRR-12	0.000586207	0.001485714	0.00724	0.000434783
k__Bacteria;p__WWE1;c__[Cloacamonae]	0.000137931	0.000514286	0.00307	0.000130435
k__Bacteria;p__ZB3;c__	0	8.57E-05	0.00013	4.35E-05
k__Bacteria;p__ZB3;c__BS119	0	5.71E-05	1.00E-05	0.000173913
k__Bacteria;p__[Caldithrix];c__KSB1	3.45E-05	0.000371429	0.00133	0
k__Bacteria;p__[Thermi];c__Deinococci	0	8.57E-05	1.00E-05	4.35E-05
