Class	Stomach	Gills	Sed	WC
k__Bacteria;p__OP11;c__	0	0	0	0
k__Bacteria;p__OP11;c__WCHB1-64	0	0	0.00E+00	0
k__Bacteria;p__OP3;Other	0	0	0.0001	0
k__Bacteria;p__OP3;c__	0	0	0.0001	0
k__Bacteria;p__OP3;c__BD4-9	0	0	0.00095	0
k__Bacteria;p__OP3;c__PBS-25	0	0	0.0005	0
k__Bacteria;p__OP3;c__koll11	0	0	0.00095	0.000333333
k__Bacteria;p__OP8;c__OP8_1	0	0	0.00055	0
k__Bacteria;p__OP8;c__OP8_2	0.0004	0.0002	0.0019	0.000333333
k__Bacteria;p__OP8;c__SAW1_B6	0	0.0002	6.00E-04	0
k__Bacteria;p__OP9;c__JS1	0	0	0.00025	0
k__Bacteria;p__PAUC34f;c__	0	0	0.0004	0
k__Bacteria;p__Planctomycetes;c__	0	0	0.0019	0
k__Bacteria;p__Planctomycetes;c__028H05-P-BN-P5	0	0.0002	0.00015	0.000333333
k__Bacteria;p__Planctomycetes;c__BD7-11	0	0	0.0003	0
k__Bacteria;p__Planctomycetes;c__C6	0	0.0004	0.00175	0
k__Bacteria;p__Planctomycetes;c__ODP123	0	0	0.00015	0
k__Bacteria;p__Planctomycetes;c__OM190	0.0014	0.0008	0.00115	0.001
k__Bacteria;p__Planctomycetes;c__Phycisphaerae	0.0002	0.0014	0.00455	0.0015
k__Bacteria;p__Planctomycetes;c__Pla3	0	0	0.00035	0
k__Bacteria;p__Planctomycetes;c__Pla4	0	0	0	0
k__Bacteria;p__Planctomycetes;c__Planctomycetia	0.0122	0.0154	1.35E-02	0.005333333
k__Bacteria;p__Planctomycetes;c__SBZP_4958	0	0	5.00E-05	0
k__Bacteria;p__Planctomycetes;c__vadinHA49	0	0.0008	1.05E-03	0.000333333
k__Bacteria;p__Poribacteria;c__	0	0	5.00E-05	0
k__Bacteria;p__Proteobacteria;c__	0	0	0.00015	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.0238	0.0668	0.0378	0.124833333
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.0142	0.006	0.00145	0.046833333
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	0.0426	0.0234	0.18845	0.038
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	0.0292	0.0478	0.0149	0.0095
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.0848	0.148	0.2316	0.181666667
k__Bacteria;p__Proteobacteria;c__TA18	0	0.0004	0.0006	0.000333333
k__Bacteria;p__Proteobacteria;c__Zetaproteobacteria	0	0	5.00E-05	0
k__Bacteria;p__SAR406;c__AB16	0.0004	0.0002	0.00345	0.000333333
k__Bacteria;p__SBR1093;c__VHS-B5-50	0	0	0	0
k__Bacteria;p__SR1;c__	0	0	0.00015	0
k__Bacteria;p__Spirochaetes;c__GN05	0	0	0	0
k__Bacteria;p__Spirochaetes;c__MVP-15	0	0	5.00E-05	0
k__Bacteria;p__Spirochaetes;c__Spirochaetes	0.0008	0.0004	0.0123	0.000833333
k__Bacteria;p__Spirochaetes;c__[Brachyspirae]	0.005	0.3044	5.00E-04	0
k__Bacteria;p__Spirochaetes;c__[Leptospirae]	0	0	0.00045	0
k__Bacteria;p__Synergistetes;c__Synergistia	0	0	0.00E+00	0
k__Bacteria;p__TM6;c__	0	0	0	0
k__Bacteria;p__TM6;c__SBRH58	0.0002	0	0.00025	0
k__Bacteria;p__TM6;c__SJA-4	0.0006	0.0004	0.00015	0.000166667
k__Bacteria;p__TM7;c__TM7-1	0	0.0002	0	0
k__Bacteria;p__TM7;c__TM7-3	0	0	0	0
k__Bacteria;p__TPD-58;c__	0	0	0.00015	0
k__Bacteria;p__Tenericutes;c__Mollicutes	0.6018	0.0236	1.05E-03	0.002833333
k__Bacteria;p__Tenericutes;c__RF3	0	0	0	0
k__Bacteria;p__Thermotogae;c__Thermotogae	0.0002	0	5.00E-05	0
k__Bacteria;p__Verrucomicrobia;c__	0	0	0	0
k__Bacteria;p__Verrucomicrobia;c__Opitutae	0.0002	0.0004	0.0009	0.0015
k__Bacteria;p__Verrucomicrobia;c__Verruco-5	0.0004	0.0002	0.00555	0.001166667
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.008	0.0088	0.00385	0.007
k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae]	0	0.0002	0	0
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae]	0	0	6.00E-04	0.000166667
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria]	0	0	0	0
k__Bacteria;p__WPS-2;c__	0.0002	0	5.00E-05	0.000166667
k__Bacteria;p__WS1;c__	0	0	0.0001	0
k__Bacteria;p__WS2;c__Kazan-3B-09	0	0	0.00E+00	0
k__Bacteria;p__WS2;c__SHA-109	0	0	0	0
k__Bacteria;p__WS3;c__PRR-12	0.0012	0.0002	0.01035	0.001333333
k__Bacteria;p__WWE1;c__[Cloacamonae]	0	0	1.45E-03	0.000166667
k__Bacteria;p__ZB3;c__	0	0	0	0
k__Bacteria;p__ZB3;c__BS119	0	0	5.00E-05	0.000666667
k__Bacteria;p__[Caldithrix];c__KSB1	0	0.0006	0.0018	0
